ADAMTS18
AJUBA
AKT1
AKT2
APOB
AURKA
BRAF
CDKN2A
CREBBP
CUL3
DICER1
EPHA2
ERBB4
EZH2
FAT1
FBXW7
FGFR1
FGFR2
FLG2
GRIN2A
HRAS
IRF6
KCNH5
KEAP1
KRAS
NFE2L2
NOTCH1
NOTCH2
NOTCH3
NOTCH4
NRAS
PPP1R3A
PTCH1
PTPRT
SALL1
SCN11A
SCN1A
SETD2
SPHKAP
TP53
ADAM29
ARID1A
ARID2
CASP8
CCND1
CDH1
CR2
EGFR
ERBB2
ERBB3
FAT4
FGFR3
GRM3
MET
MUC17
NF1
NSD1
PCED1B
PIK3CA
PLCB1
PREX2
PTEN
RB1
RBM10
SMAD4
SMO
SOX2
SUFU
TP63
TRIOBP
