"TCGA-EB-A5VV-06A-11R-A32P-07" "TCGA-GN-A263-01A-11R-A18T-07" "TCGA-HR-A2OG-06A-21R-A18U-07" "TCGA-FS-A4F4-06A-12R-A266-07" "TCGA-DA-A1HY-06A-11R-A18T-07" "TCGA-EB-A551-01A-21R-A27Q-07" "TCGA-EE-A180-06A-11R-A21D-07" "TCGA-FS-A1YW-06A-11R-A18T-07" "TCGA-D3-A5GT-01A-12R-A311-07" "TCGA-EB-A3XF-01A-31R-A239-07" "TCGA-EE-A2GN-06A-11R-A18S-07" "TCGA-EE-A184-06A-11R-A18S-07" "TCGA-D3-A51T-06A-11R-A266-07" "TCGA-RP-A694-06A-11R-A311-07" "TCGA-XV-AB01-06A-12R-A40A-07" "TCGA-DA-A1I0-06A-11R-A20F-07" "TCGA-ER-A19O-06A-11R-A18S-07" "TCGA-EE-A20I-06A-11R-A18U-07" "TCGA-FW-A3TU-06A-11R-A239-07" "TCGA-BF-AAP8-01A-11R-A40A-07" "TCGA-FS-A1Z0-06A-11R-A18T-07" "TCGA-EB-A299-01A-21R-A18U-07" "TCGA-EB-A5SH-06A-11R-A311-07" "TCGA-EE-A17Y-06A-11R-A18T-07" "TCGA-D3-A1Q8-06A-11R-A18T-07" "TCGA-ER-A196-01A-11R-A18T-07" "TCGA-D3-A8GR-06A-11R-A37K-07" "TCGA-EE-A2ML-06A-11R-A18S-07" "TCGA-D3-A8GB-06A-11R-A37K-07" "TCGA-D3-A5GS-06A-11R-A27Q-07" "TCGA-FW-A3R5-06A-11R-A239-07" "TCGA-EE-A2MN-06A-11R-A18S-07" "TCGA-ER-A198-06A-11R-A18T-07" "TCGA-EB-A4XL-01A-11R-A27Q-07" "TCGA-EB-A57M-01A-51R-A311-07" "TCGA-D9-A4Z5-01A-11R-A266-07" "TCGA-D3-A2JE-06A-11R-A37K-07" "TCGA-DA-A1I8-06A-11R-A18T-07" "TCGA-EE-A29M-06A-11R-A18T-07" "TCGA-FS-A1ZU-06A-12R-A18T-07" "TCGA-ER-A19W-06A-41R-A239-07" "TCGA-GN-A8LK-06A-11R-A37K-07" "TCGA-DA-A95V-06A-11R-A37K-07" "TCGA-EE-A29Q-06A-11R-A18T-07" "TCGA-D3-A8GJ-06A-11R-A37K-07" "TCGA-D3-A3CF-06A-11R-A18T-07" "TCGA-D3-A3MV-06A-11R-A21D-07" "TCGA-GN-A4U5-01A-11R-A32P-07" "TCGA-BF-AAP0-06A-11R-A39D-07" "TCGA-EE-A3JB-06A-11R-A21D-07" "TCGA-BF-AAP6-01A-11R-A40A-07" "TCGA-EB-A5FP-01A-11R-A27Q-07" "TCGA-EE-A2GK-06A-11R-A18S-07" "TCGA-GF-A6C8-06A-12R-A311-07" "TCGA-WE-A8JZ-06A-11R-A37K-07" "TCGA-EE-A2A6-06A-11R-A18T-07" "TCGA-DA-A1I2-06A-21R-A18U-07" "TCGA-ER-A19C-06A-11R-A18S-07" "TCGA-W3-AA1O-06A-11R-A38C-07" "TCGA-Z2-AA3S-06A-11R-A39D-07" "TCGA-WE-A8K6-06A-11R-A37K-07" "TCGA-EB-A6R0-01A-12R-A32P-07" "TCGA-EE-A29T-06A-11R-A18T-07" "TCGA-FR-A7UA-06A-32R-A352-07" "TCGA-ER-A199-06A-11R-A18T-07" "TCGA-D3-A2JD-06A-11R-A18T-07" "TCGA-ER-A193-06A-12R-A18S-07" "TCGA-BF-A5EQ-01A-21R-A27Q-07" "TCGA-EE-A2GO-06A-11R-A18S-07" "TCGA-D3-A51N-06A-11R-A266-07" "TCGA-QB-AA9O-06A-11R-A39D-07" "TCGA-ER-A3ET-06A-11R-A20F-07" "TCGA-D3-A8GP-06A-11R-A37K-07" "TCGA-D3-A3MR-06A-11R-A21D-07" "TCGA-WE-A8ZX-06A-11R-A37K-07" "TCGA-EE-A181-06A-11R-A18S-07" "TCGA-FS-A1ZK-06A-11R-A18T-07" "TCGA-D3-A2JH-06A-11R-A18T-07" "TCGA-D3-A3CB-06A-11R-A18S-07" "TCGA-D3-A3ML-06A-11R-A21D-07" "TCGA-EE-A3AF-06A-11R-A18S-07" "TCGA-EE-A29V-06A-12R-A18S-07" "TCGA-ER-A42L-06A-11R-A24X-07" "TCGA-FW-A3TV-06A-11R-A239-07" "TCGA-D3-A2JO-06A-11R-A18S-07" "TCGA-EE-A2GP-06A-11R-A18S-07" "TCGA-GN-A4U7-06A-21R-A32P-07" "TCGA-EE-A2GC-06A-11R-A18T-07" "TCGA-D9-A149-06A-11R-A18S-07" "TCGA-ER-A19F-06A-11R-A18S-07" "TCGA-FS-A4F9-06A-11R-A24X-07" "TCGA-EE-A3J8-06A-11R-A20F-07" "TCGA-EE-A2MU-06A-21R-A18S-07" "TCGA-EE-A2MF-06A-11R-A21D-07" "TCGA-EB-A5KH-06A-11R-A27Q-07" "TCGA-WE-A8K5-06A-11R-A37K-07" "TCGA-EE-A3AB-06A-11R-A18S-07" "TCGA-ER-A2NE-06A-21R-A18T-07" "TCGA-WE-AA9Y-06A-12R-A38C-07" "TCGA-BF-A9VF-01A-11R-A37K-07" "TCGA-D3-A8GL-06A-11R-A37K-07" "TCGA-D3-A3C8-06A-12R-A18S-07" "TCGA-EB-A4IS-01A-21R-A266-07" "TCGA-FR-A44A-06A-11R-A24X-07" "TCGA-BF-A1PX-01A-12R-A18T-07" "TCGA-YG-AA3O-06A-11R-A38C-07" "TCGA-D9-A4Z3-01A-11R-A266-07" "TCGA-D3-A1Q6-06A-11R-A18T-07" "TCGA-D3-A8GC-06A-11R-A37K-07" "TCGA-D3-A51R-06A-11R-A266-07" "TCGA-D3-A2JN-06A-11R-A18S-07" "TCGA-DA-A1HV-06A-21R-A18S-07" "TCGA-EB-A4OZ-01A-12R-A266-07" "TCGA-FR-A7U8-06A-21R-A352-07" "TCGA-D3-A1Q5-06A-11R-A18T-07" "TCGA-Z2-A8RT-06A-11R-A37K-07" "TCGA-WE-A8ZT-06A-11R-A37K-07" "TCGA-EB-A44R-06A-41R-A266-07" "TCGA-Z2-AA3V-06A-11R-A39D-07" "TCGA-EE-A2GD-06A-11R-A18T-07" "TCGA-WE-A8ZY-06A-11R-A37K-07" "TCGA-ER-A19L-06A-12R-A18S-07" "TCGA-BF-A3DJ-01A-11R-A20F-07" "TCGA-FR-A3R1-01A-11R-A239-07" "TCGA-EB-A44P-01A-11R-A266-07" "TCGA-EB-A4OY-01A-11R-A266-07" "TCGA-D3-A8GK-06A-11R-A37K-07" "TCGA-FS-A1ZB-06A-12R-A18S-07" "TCGA-EB-A3XD-01A-22R-A239-07" "TCGA-D3-A3MU-06A-11R-A21D-07" "TCGA-W3-AA1Q-06A-11R-A38C-07" "TCGA-EE-A29E-06A-11R-A18T-07" "TCGA-EE-A2A0-06A-11R-A18T-07" "TCGA-XV-A9W2-01A-11R-A39D-07" "TCGA-EE-A29G-06A-12R-A18T-07" "TCGA-DA-A1IB-06A-11R-A18S-07" "TCGA-EE-A29B-06A-11R-A18U-07" "TCGA-GN-A4U3-06A-11R-A32P-07" "TCGA-ER-A19G-06A-11R-A18U-07" "TCGA-EE-A2GH-06A-11R-A18T-07" "TCGA-EE-A2GR-06A-11R-A18S-07" "TCGA-DA-A3F2-06A-11R-A20F-07" "TCGA-FS-A1ZR-06A-21R-A18U-07" "TCGA-BF-A5ER-01A-12R-A27Q-07" "TCGA-FS-A4FC-06A-11R-A24X-07" "TCGA-EE-A2M5-06A-12R-A18S-07" "TCGA-DA-A3F8-06A-11R-A20F-07" "TCGA-WE-A8ZO-06A-11R-A37K-07" "TCGA-EB-A5VU-01A-21R-A32P-07" "TCGA-ER-A19T-01A-11R-A18T-07" "TCGA-EE-A3JD-06A-11R-A20F-07" "TCGA-FS-A1ZQ-06A-11R-A18U-07" "TCGA-ER-A3ES-06A-11R-A20F-07" "TCGA-ER-A2NC-06A-11R-A18T-07" "TCGA-W3-A828-06A-11R-A352-07" "TCGA-ER-A2NB-01A-12R-A18S-07" "TCGA-D3-A8GI-06A-11R-A37K-07" "TCGA-FS-A1YY-06A-11R-A18T-07" "TCGA-D3-A3C6-06A-12R-A18U-07" "TCGA-D9-A3Z4-01A-11R-A239-07" "TCGA-EE-A3AC-06A-11R-A18S-07" "TCGA-D3-A2JF-06A-11R-A18S-07" "TCGA-EB-A550-01A-61R-A27Q-07" "TCGA-EB-A44O-01A-11R-A266-07" "TCGA-RP-A690-06A-11R-A311-07" "TCGA-EE-A29H-06A-12R-A18S-07" "TCGA-EB-A3XE-01A-12R-A239-07" "TCGA-FR-A69P-06A-21R-A311-07" "TCGA-ER-A19J-06A-11R-A18S-07" "TCGA-EB-A24D-01A-11R-A18T-07" "TCGA-EE-A2ME-06A-11R-A18T-07" "TCGA-D3-A2JB-06A-11R-A18T-07" "TCGA-EB-A42Y-01A-12R-A24X-07" "TCGA-BF-A1PV-01A-11R-A18U-07" "TCGA-FR-A3YN-06A-11R-A239-07" "TCGA-D9-A1X3-06A-11R-A18S-07" "TCGA-YG-AA3P-06A-11R-A38C-07" "TCGA-D9-A1JX-06A-11R-A18S-07" "TCGA-FR-A2OS-01A-11R-A21D-07" "TCGA-WE-A8ZN-06A-11R-A37K-07" "TCGA-EE-A2GU-06A-11R-A18T-07" "TCGA-D9-A6E9-06A-12R-A311-07" "TCGA-GF-A2C7-01A-11R-A18T-07" "TCGA-FR-A8YD-06A-11R-A37K-07" "TCGA-D3-A2JL-06A-11R-A18S-07" "TCGA-D3-A1Q3-06A-11R-A18T-07" "TCGA-EE-A3JI-06A-11R-A21D-07" "TCGA-ER-A194-01A-11R-A18U-07" "TCGA-HR-A5NC-01A-11R-A27Q-07" "TCGA-D3-A3CC-06A-11R-A18S-07" "TCGA-BF-AAOX-01A-11R-A39D-07" "TCGA-EE-A3JH-06A-11R-A21D-07" "TCGA-DA-A1IA-06A-11R-A18S-07" "TCGA-FS-A1ZJ-06A-12R-A18S-07" "TCGA-FS-A4F8-06A-11R-A266-07" "TCGA-W3-A825-06A-11R-A352-07" "TCGA-D3-A3C1-06A-12R-A18S-07" "TCGA-FS-A1ZS-06A-12R-A18T-07" "TCGA-D3-A8GQ-06A-11R-A37K-07" "TCGA-D3-A2JA-06A-11R-A18T-07" "TCGA-ER-A19D-06A-11R-A18S-07" "TCGA-GN-A266-06A-11R-A18T-07" "TCGA-DA-A3F3-06A-11R-A20F-07" "TCGA-W3-AA1W-06A-11R-A38C-07" "TCGA-EE-A2MC-06A-12R-A18S-07" "TCGA-RP-A695-06A-11R-A311-07" "TCGA-ER-A19Q-06A-11R-A18U-07" "TCGA-D3-A8GV-06A-11R-A37K-07" "TCGA-RP-A693-06A-13R-A311-07" "TCGA-BF-A1PU-01A-11R-A18S-07" "TCGA-BF-AAP7-01A-11R-A40A-07" "TCGA-ER-A197-06A-32R-A18S-07" "TCGA-ER-A19E-06A-11R-A18S-07" "TCGA-EE-A3J4-06A-11R-A20F-07" "TCGA-EE-A3JA-06A-11R-A20F-07" "TCGA-ER-A19A-06A-21R-A18U-07" "TCGA-FW-A3I3-06A-11R-A21D-07" "TCGA-EE-A2MR-06A-11R-A18S-07" "TCGA-D3-A8GM-06A-11R-A37K-07" "TCGA-D3-A51G-06A-11R-A266-07" "TCGA-EB-A5SG-06A-11R-A311-07" "TCGA-BF-A1PZ-01A-11R-A18S-07" "TCGA-GF-A6C9-06A-11R-A311-07" "TCGA-D3-A2JG-06A-11R-A18T-07" "TCGA-EE-A2MK-06A-11R-A18S-07" "TCGA-EE-A2GE-06A-11R-A18T-07" "TCGA-EE-A29A-06A-12R-A18U-07" "TCGA-XV-A9VZ-01A-11R-A38C-07" "TCGA-EE-A2MS-06A-11R-A18S-07" "TCGA-W3-AA21-06A-11R-A38C-07" "TCGA-FS-A1ZP-06A-11R-A18T-07" "TCGA-EB-A4IQ-01A-12R-A266-07" "TCGA-EB-A85I-01A-11R-A352-07" "TCGA-D3-A51H-06A-12R-A266-07" "TCGA-EB-A3XC-01A-11R-A239-07" "TCGA-EB-A82C-01A-11R-A352-07" "TCGA-DA-A95W-06A-11R-A37K-07" "TCGA-W3-AA1R-06A-11R-A39D-07" "TCGA-EE-A2MP-06A-11R-A18S-07" "TCGA-EB-A51B-01A-11R-A27Q-07" "TCGA-3N-A9WB-06A-11R-A38C-07" "TCGA-WE-A8ZR-06A-11R-A37K-07" "TCGA-D9-A3Z3-06A-11R-A239-07" "TCGA-FS-A1ZT-06A-11R-A18U-07" "TCGA-EE-A2A2-06A-11R-A18T-07" "TCGA-D3-A8GS-06A-12R-A37K-07" "TCGA-EE-A2M6-06A-12R-A18S-07" "TCGA-EE-A183-06A-11R-A18S-07" "TCGA-EE-A29S-06A-11R-A18T-07" "TCGA-GN-A26A-06A-11R-A18T-07" "TCGA-EE-A2M8-06A-12R-A18S-07" "TCGA-XV-A9W5-01A-11R-A38C-07" "TCGA-FR-A3YO-06A-11R-A239-07" "TCGA-FS-A4FB-06A-11R-A266-07" "TCGA-DA-A1IC-06A-11R-A18S-07" "TCGA-EB-A5UM-01A-11R-A311-07" "TCGA-BF-AAP1-01A-11R-A39D-07" "TCGA-EE-A2MT-06A-11R-A18S-07" "TCGA-D3-A5GU-06A-11R-A27Q-07" "TCGA-D3-A8GN-06A-11R-A37K-07" "TCGA-EE-A182-06A-11R-A18T-07" "TCGA-BF-AAP4-01A-11R-A40A-07" "TCGA-XV-AAZW-01A-12R-A40A-07" "TCGA-FS-A4FD-06A-11R-A266-07" "TCGA-D3-A8GD-06A-11R-A37K-07" "TCGA-GN-A264-06A-11R-A18U-07" "TCGA-EB-A82B-01A-11R-A352-07" "TCGA-D3-A1Q9-06A-11R-A18T-07" "TCGA-ER-A19M-06A-61R-A239-07" "TCGA-EE-A2M7-06A-11R-A18U-07" "TCGA-GN-A8LN-01A-11R-A37K-07" "TCGA-DA-A1I4-06A-11R-A18U-07" "TCGA-EB-A6QZ-01A-12R-A32P-07" "TCGA-BF-A5EO-01A-12R-A27Q-07" "TCGA-FS-A1Z4-06A-11R-A18T-07" "TCGA-EE-A2MJ-06A-11R-A18S-07" "TCGA-D3-A3MO-06A-11R-A21D-07" "TCGA-FW-A5DX-01A-11R-A27Q-07" "TCGA-EE-A29N-06A-12R-A18S-07" "TCGA-EE-A2GS-06A-12R-A18S-07" "TCGA-BF-A5EP-01A-12R-A27Q-07" "TCGA-D3-A1Q1-06A-21R-A18T-07" "TCGA-DA-A960-01A-11R-A37K-07" "TCGA-EB-A553-01A-12R-A27Q-07" "TCGA-EB-A431-01A-11R-A266-07" "TCGA-W3-AA1V-06B-11R-A40A-07" "TCGA-FS-A1ZM-06A-12R-A18S-07" "TCGA-WE-AAA4-06A-12R-A38C-07" "TCGA-FW-A5DY-06A-11R-A311-07" "TCGA-D9-A1JW-06A-11R-A18S-07" "TCGA-EB-A44N-01A-11R-A266-07" "TCGA-D3-A5GL-06A-11R-A27Q-07" "TCGA-ER-A19N-06A-11R-A18S-07" "TCGA-LH-A9QB-06A-11R-A38C-07" "TCGA-WE-A8K1-06A-21R-A37K-07" "TCGA-EE-A185-06A-11R-A18S-07" "TCGA-D9-A4Z6-06A-12R-A266-07" "TCGA-FR-A8YE-06A-11R-A37K-07" "TCGA-3N-A9WD-06A-11R-A38C-07" "TCGA-FS-A1ZY-06A-11R-A18S-07" "TCGA-IH-A3EA-01A-11R-A20F-07" "TCGA-EB-A3XB-01A-11R-A239-07" "TCGA-GN-A267-06A-21R-A18T-07" "TCGA-EE-A2A1-06A-11R-A18T-07" "TCGA-GN-A4U9-06A-11R-A32P-07" "TCGA-EE-A3AA-06A-11R-A18S-07" "TCGA-EE-A3JE-06A-11R-A20F-07" "TCGA-GF-A769-01A-32R-A32P-07" "TCGA-D9-A6EC-06A-11R-A311-07" "TCGA-D3-A5GN-06A-11R-A27Q-07" "TCGA-D3-A2J8-06A-11R-A18T-07" "TCGA-EE-A2GI-06A-11R-A18T-07" "TCGA-EB-A3HV-01A-11R-A21D-07" "TCGA-EE-A2MI-06A-11R-A18U-07" "TCGA-FS-A1ZD-06A-11R-A18T-07" "TCGA-EE-A2MQ-06A-11R-A18S-07" "TCGA-WE-AAA3-06A-11R-A38C-07" "TCGA-EE-A29W-06A-11R-A18U-07" "TCGA-DA-A95X-06A-11R-A37K-07" "TCGA-D9-A6EA-06A-11R-A311-07" "TCGA-D3-A8GO-06A-11R-A37K-07" "TCGA-ER-A2NF-01A-11R-A18T-07" "TCGA-EB-A41B-01A-11R-A24X-07" "TCGA-FR-A8YC-06A-11R-A37K-07" "TCGA-EB-A5UN-06A-11R-A311-07" "TCGA-BF-A3DN-01A-11R-A20F-07" "TCGA-QB-A6FS-06A-11R-A311-07" "TCGA-D3-A2JK-06A-11R-A18S-07" "TCGA-EE-A29R-06A-11R-A18T-07" "TCGA-EE-A17Z-06A-11R-A18S-07" "TCGA-DA-A3F5-06A-11R-A20F-07" "TCGA-D3-A2JC-06A-11R-A18T-07" "TCGA-D3-A8GE-06A-11R-A37K-07" "TCGA-BF-AAOU-01A-12R-A39D-07" "TCGA-FS-A1ZF-06A-12R-A18S-07" "TCGA-ER-A19H-06A-12R-A18S-07" "TCGA-DA-A1I5-06A-11R-A18T-07" "TCGA-ER-A3EV-06A-11R-A20F-07" "TCGA-GN-A262-06A-11R-A18T-07" "TCGA-EE-A2GB-06A-11R-A18T-07" "TCGA-D3-A51K-06A-11R-A266-07" "TCGA-EE-A2MG-06A-11R-A18T-07" "TCGA-WE-A8K4-01A-12R-A37K-07" "TCGA-D3-A2JP-06A-11R-A18S-07" "TCGA-FR-A728-01A-11R-A32P-07" "TCGA-GN-A9SD-06A-11R-A40A-07" "TCGA-BF-A5ES-01A-11R-A27Q-07" "TCGA-W3-A824-06A-21R-A352-07" "TCGA-EE-A29D-06A-11R-A18T-07" "TCGA-FS-A1Z7-06A-11R-A18T-07" "TCGA-ER-A19S-06A-11R-A18U-07" "TCGA-EE-A3AG-06A-31R-A18S-07" "TCGA-FR-A729-06A-11R-A352-07" "TCGA-EB-A5UL-06A-11R-A311-07" "TCGA-EE-A20B-06A-11R-A18U-07" "TCGA-FS-A1ZZ-06A-11R-A18S-07" "TCGA-ER-A19B-06A-11R-A18S-07" "TCGA-ER-A2NG-06A-11R-A18T-07" "TCGA-WE-A8ZM-06A-11R-A37K-07" "TCGA-GF-A3OT-06A-23R-A239-07" "TCGA-D3-A1QA-07A-11R-A37K-07" "TCGA-D3-A1QA-06A-11R-A18T-07" "TCGA-D3-A3C3-06A-12R-A18S-07" "TCGA-EE-A29C-06A-21R-A18S-07" "TCGA-D9-A4Z2-01A-11R-A24X-07" "TCGA-ER-A19P-06A-11R-A18S-07"
"ABCB4" 8.3243 8.8439 1.8307 1.3882 8.8461 23.2896 9.3697 5.7076 0.494 0.4796 1.3504 1.3707 4.4778 16.7597 0.1273 12.0958 1.2088 8.6769 5.1874 2.0797 5.32 5.5218 0.1491 0.9638 6.674 0.3549 0.3393 15.6204 11.4531 29.1558 1.0917 0.6756 2.3369 5.569 8.8406 0.3217 8.5539 23.5198 3.1133 2.5405 2.4949 1.6593 0.1761 9.7894 1.5737 2.6107 13.9107 4.1517 2.4599 4.4767 9.4396 5.1799 14.5994 3.4693 7.9266 3.4717 0.6928 16.1916 0.1144 4.5588 2.3135 7.9099 9.4116 0.8056 1.5843 1.0112 5.3022 0.3243 0.1804 4.7734 6.2527 12.7181 3.0575 0.4802 0.2712 10.7248 2.4518 4.7853 0.7652 0.0604 0.5503 6.6217 3.0318 21.2249 0.9527 2.8819 2.5337 16.1168 0.4739 11.6807 52.8079 7.886 4.3557 0.2816 0.1878 1.5198 57.5144 1.3458 20.277 1.7654 0.1116 4.7238 7.4162 0.7855 1.0687 3.1666 8.471 1.1832 0.3962 3.0479 0.5047 13.6741 0.8961 0.2511 16.6931 9.0294 0.1253 2.7234 0.7542 1.0569 0.9667 2.5616 2.7461 0.434 0.7109 0.3166 0.1794 1.9758 1.0141 25.8004 0.0618 56.1175 0.98 2.0767 0.4746 2.4218 0.1119 0.0695 2.221 1.6578 1.6646 0.4953 1.3675 0.0461 0.4765 0.0852 0.6971 0.3647 8.3409 1.4577 54.6262 14.5653 0.0656 12.0452 0.3275 0.0881 9.1679 25.697 11.2744 2.59 0.6959 16.8414 0.6489 1.9344 0.2688 0.3647 1.9585 3.8402 0.4913 0.2142 41.6205 1.7053 8.0697 0.1751 11.3019 6.4936 1.1283 1.6277 1.0779 16.5484 0.9985 0.7596 6.6177 0.0216 34.1054 0.7913 0.1908 0.3062 2.3599 21.8313 2.5463 0.6001 6.5071 2.7779 10.9996 5.3459 0.6996 8.0866 1.1886 7.8858 2.0048 2.7164 16.6458 0.981 4.6236 6.0576 7.4158 7.2131 0.5955 1.1728 0.6328 8.2831 2.7007 0.1479 5.3115 5.7299 1.6604 4.827 3.2467 11.2342 0.8105 0.9168 2.0617 7.2998 11.7153 8.2266 0.2887 1.7475 14.208 1.4383 1.077 0.2131 5.094 8.0352 18.3591 2.6212 0.6216 3.9301 8.0298 1.7326 0.8991 0.4272 3.8213 2.2385 3.7722 3.5615 2.0126 1.8835 0.5646 1.7307 1.1104 9.0578 1.6632 0.0554 0.2784 0.9012 7.0786 0.187 1.177 0.7384 2.9076 1.5742 0.5067 0.3203 3.0335 11.9941 0.2349 0.2195 28.8683 2.0685 7.6218 10.6661 0.521 0.2641 2.4538 1.5197 7.3908 37.3521 11.2457 0.1988 6.547 42.6948 0.1987 3.2932 4.1527 3.3238 32.8281 2.7042 3.4801 1.8541 4.928 1.2225 0.6816 18.4571 1.1325 0.232 14.8482 8.0269 0.7317 0.0382 0.1105 0.7977 2.0475 1.812 6.4439 27.1291 3.1744 0.2004 3.9647 19.4066 0.365 25.7871 2.4992 36.2195 12.7144 2.0615 0.941 28.8831 4.3423 6.434 4.7678 0.4435 1.9379 0.274 0.244 1.2724 2.1331 1.2874 9.0199 1.5346 1.4323 6.2856 0.5954 1.3831 0.9889 0.4934 7.5663 5.0961 0.0904 29.0451 0.8028 4.9207 19.7759 3.0068 2.1929 2.0721 3.0987 0.1294 0.6207 4.7174 4.3829 5.6351 1.2644 6.7114 0.472 0.4573 8.9125 1.142 5.0726 0.385 12.7808 0.3957 0.4774 0.8813 3.8239 5.3458
"ABCB9" 1.1392 0.6741 2.019 2.5264 22.4746 1.4082 1.1892 2.1436 0.4847 5.0257 3.1318 2.5443 4.1331 2.1676 0.4347 3.3146 2.0652 6.1771 3.0123 0.9387 2.9135 1.8862 1.6741 8.5777 4.2123 2.663 0.9591 8.3924 2.2003 2.7548 3.4811 2.6457 3.9098 3.2986 2.1613 1.8153 3.5114 42.6639 4.4517 6.1824 2.3479 2.5287 1.9844 2.6077 2.2614 6.139 5.4475 1.6215 3.3003 7.7178 5.4509 2.9453 1.5581 4.8891 2.8375 3.0192 2.0594 7.6334 3.7794 2.432 7.0633 3.8515 9.1599 1.1891 1.1873 5.4222 4.1987 2.9189 9.3754 2.2333 3.4137 4.8253 3.632 3.0437 5.125 3.1925 7.4832 2.7824 3.2129 2.3849 7.1321 7.5287 2.7742 10.9373 6.8781 3.249 3.7387 0.8914 3.9551 5.9156 0.1624 3.087 5.1303 3.8463 0.6154 1.931 19.9647 5.3989 1.731 7.6539 2.018 4.7527 2.3528 1.9419 2.4591 2.3054 3.021 7.9441 4.0257 1.4911 6.2426 3.549 2.2467 3.7766 1.3061 3.3622 8.5422 5.6691 9.1224 6.3842 6.9115 4.3102 7.327 2.7302 3.695 1.7628 5.7192 4.6335 1.4337 2.3457 1.4133 4.5785 0.6674 4.1613 2.1498 1.6904 3.3738 2.1367 2.867 0.7357 3.2768 0.601 3.3382 3.9471 3.8082 2.7984 5.138 5.3964 2.2986 5.0562 3.2197 4.0209 0.2671 4.5056 2.2852 0.6975 3.7307 3.8044 1.2582 8.5483 10.2655 1.9208 1.4388 9.9215 0.6564 5.6188 0.7366 2.3539 5.1517 1.5087 0.9374 4.1092 2.8455 3.8249 1.9794 2.615 0.7051 4.5758 5.7165 0.5791 1.5335 2.8163 4.4521 2.627 2.2453 3.3798 3.8443 0.5249 0.5231 1.9855 4.9045 1.0467 2.9877 3.8885 1.8552 6.0808 4.6176 3.2891 2.1396 3.9101 3.1442 2.5666 3.3523 1.1462 2.2054 3.9797 3.779 6.6316 4.5741 1.3758 2.4597 1.3829 1.5269 4.0524 0.8211 2.8997 1.7103 2.2084 5.6736 9.804 1.5648 6.3932 2.5532 1.8166 1.3373 2.0241 6.2821 2.7487 2.6749 1.6509 1.4248 1.4097 5.0906 1.3843 3.8994 1.6363 4.2928 8.421 1.7073 2.9022 3.7381 4.4616 6.9087 1.366 2.7335 1.3858 2.2377 5.6517 7.0708 16.445 1.3399 4.2357 10.5254 8.2505 4.3104 0.8779 2.2624 6.525 1.5895 3.7833 7.1134 1.9757 2.6558 2.8538 9.8615 1.3481 2.3145 5.0351 1.6186 4.6004 3.1772 2.6977 2.56 7.1631 0.7511 1.7486 4.2266 4.2666 5.2961 2.2605 4.5907 2.0838 0.7773 0.8853 6.4117 2.8137 2.646 4.1215 4.6172 5.1879 2.0806 5.5787 4.3524 1.8066 2.9801 4.9274 3.7118 2.6068 1.1136 2.745 6.2553 5.2895 0.9747 4.1637 2.4152 2.4899 0.2963 3.5859 4.8975 3.8954 3.7836 1.6432 2.6112 3.1651 1.6077 23.5648 1.8946 3.0497 4.8491 5.9243 3.7942 0.6597 4.1316 2.2919 6.9779 1.914 8.1731 5.2098 7.5901 10.6794 29.0046 3.2064 4.9787 4.7921 4.8576 3.0298 3.6656 1.6383 2.1758 6.2792 2.0584 2.2533 2.825 1.7384 6.1027 2.7213 2.9214 4.8155 6.8822 3.5458 1.8858 4.944 2.1254 2.3609 4.4906 5.1929 20.0855 4.0347 8.007 2.1023 3.4287 5.659 3.8218 7.6867 4.9238 1.1579
