X0	N1	N2	N3	P4	P2	P3	N4	N5	N6	N7	P1
PD40794i_lo0122	5.77114427860696e-05	0.284446517412935	0.663026368159204	0.00657338308457711	0.000636069651741293	0.000908208955223881	0.00437786069651741	0.0273646766169154	0.00147537313432836	0.000385323383084577	0.0104196517412935	0.000328855721393035
PD40842e_lo0010	0.00247948164146868	0.523989200863931	0.179669546436285	0.0529373650107991	0.00091792656587473	0.00204967602591793	0.120593952483801	0.068755939524838	0.0306630669546436	0.00782937365010799	0.00128941684665227	0.00882505399568035
PD40842e_lo0022	0.00265901639344262	0.441734426229508	0.133455737704918	0.032944262295082	0.00195409836065574	0.00472459016393443	0.0756459016393443	0.108262295081967	0.0180098360655738	0.115062295081967	0.0218754098360656	0.043672131147541
PD40843f_lo0026	0.00457998359310911	0.26936587366694	0.187915504511895	0.291136177194422	0.0253855619360131	0.00931665299425759	0.0489401148482363	0.0989786710418376	0.0368047579983593	0.0157891714520098	0.00897292863002461	0.00281460213289582
PD40843f_lo0028	0.000574554294975689	0.380696110210697	0.133353322528363	0.355982171799028	0.000880875202593193	0.00475688816855754	0.0164902755267423	0.0232115072933549	0.0683006482982172	0.00671312803889789	0.00788654781199352	0.00115397082658023
PD40843f_lo0086	0.00165179856115108	0.436055395683453	0.197243165467626	0.250644604316547	0.00436402877697842	0.00168129496402878	0.0889294964028777	0.00978992805755396	0.00479784172661871	0.00158992805755396	0.00272805755395683	0.000524460431654676
PD40844b_lo0022	4.64383273797016e-05	0.219465433914688	0.0551454086993066	0.114727884009246	0.325136163059466	0.2622899768859	0.00909203614204665	0.0106782937591931	0.00169951670519017	0.00129544021853331	0.00023513343139315	0.000188274847657071
PD40844j_lo0024	0.000157587548638132	0.498312581063554	0.0967944228274968	0.260278210116732	0.000406614785992218	0.0329948119325551	0.0226517509727626	0.0443398184176394	0.00838391699092088	0.00168352788586252	0.000711413748378729	0.0332853437094682
PD40844k_lo0029	0.00152533783783784	0.449021959459459	0.11873704954955	0.292	0.000927364864864865	0.00269087837837838	0.0843417792792793	0.0158474099099099	0.00947747747747748	0.00147072072072072	0.000561373873873874	0.0233986486486486
PD40845i_lo0001	0.00021244167962675	0.407182270606532	0.430756454121306	0.0684618973561431	0.00761088646967341	0.0236267496111975	0.046446034214619	0.00227589424572317	0.00853654743390358	0.00431975116640747	0.000327216174183515	0.000243856920684292
PD40845i_lo0030	0.000246788370520622	0.476750507099391	0.409077417173766	0.0585229885057471	0.00056288032454361	0.00191277890466531	0.0235554428668019	0.00498985801217039	0.00637592968221771	0.00270689655172414	0.0150723461798513	0.000226166328600406
PD40845i_lo0037	0.000141896153037629	0.414740592810595	0.456356106789994	0.0359003573680891	0.00267963001891949	0.000640950178684045	0.00869497582509985	0.0020752575152407	0.070764347277696	0.0010651671221358	0.00668677738070212	0.000253941559806601
PD40845i_lo0066	0.000452892561983471	0.387910192837466	0.469368044077135	0.086332782369146	0.00811845730027548	0.00185730027548209	0.0200280991735537	0.00883526170798898	0.0119829201101928	0.0034	0.000954820936639118	0.000759228650137741
PD40845i_lo0067	0.000564207093355075	0.477662861801875	0.349854871585813	0.104764370158989	0.01483163473298	0.00212556053811659	0.038792091316755	0.00279372197309417	0.00190093762739503	0.00217611088463106	0.00222339991846718	0.00231023236852833
PD40845j_lo0017	0.000250414044385558	0.431240145743624	0.439419344153693	0.079672076846638	0.00504007949652203	0.0161556806889699	0.015566743954952	0.00142994368996356	0.00685723749585956	0.00223617091752236	0.0018625372639947	0.000269625703875455
PD40845k_lo0001	0.000736641221374046	0.472817938931298	0.380651908396947	0.0540545801526718	0.000337404580152672	0.00124198473282443	0.0141671755725191	0.01885	0.0104022900763359	0.0348916030534351	0.00951946564885496	0.00232900763358779
PD40845k_lo0009	0.00109868099658036	0.565310210063508	0.285396189545677	0.0717796775769419	0.00229164631167562	0.000558866634098681	0.0229980459208598	0.00323742061553493	0.0138783585735222	0.0315486077186126	0.00133023937469468	0.000572056668295066
PD41525g_lo0023	0.000573634859349145	0.501646442360728	0.160570876999448	0.16780750137893	0.00225758411472697	0.00335741864313293	0.0449448428019857	0.0113938223938224	0.00643298400441258	0.0936326530612245	0.00567622724765582	0.00170601213458356
PD41525g_lo0025	0.000185185185185185	0.381123354759718	0.123545454545455	0.10291674318947	0.223391796755433	0.134835935108662	0.0177447199265381	0.00794949494949495	0.00524303642485461	0.0021010101010101	0.000369146005509642	0.000594123048668503
PD41525j_lo0004	0.00300518134715026	0.566753022452504	0.129598733448474	0.170093264248705	0.00344502014968336	0.000756476683937824	0.0264715025906736	0.00944156591824986	0.0778554979850317	0.00823431203223949	0.000922855497985032	0.00342256764536557
PD42031c_lo0027	0.000185665529010239	0.125733788395904	0.114831399317406	0.384733788395904	0.0166320819112628	0.00488259385665529	0.00730853242320819	0.338320136518771	0.00293993174061433	0.00230102389078498	0.00159317406143345	0.000537883959044369
PD42031f_lo0008	0.000614773629864972	0.139428117553614	0.197529785544083	0.502946783161239	0.0106076250992851	0.0514702144559174	0.018373312152502	0.0547005559968229	0.00377760127084988	0.0150841938046068	0.00470135027799841	0.000765687053216839
PD42032b_lo0003	0.00133769063180828	0.535006535947712	0.227053740014524	0.128840958605664	0.00110602759622367	0.00620261437908497	0.0432069716775599	0.035757443718228	0.012556281771968	0.00707915758896151	0.00111692084241104	0.000735657225853304
PD42032b_lo0038	0.000541258072231524	0.217611097823487	0.172900023917723	0.0427950251136092	0.303118392729012	0.214502033006458	0.0148270748624731	0.00204855297775652	0.027043051901459	0.00388375986606075	0.000269791915809615	0.000459937813920115
PD43303b_lo0030	0.000206599175103112	0.425577427821522	0.21015298087739	0.129962879640045	0.0600299962504687	0.0352084739407574	0.0191679790026247	0.0245766779152606	0.0782793400824897	0.00707236595425572	0.00964491938507687	0.000120359955005624
PD43303d_lo0034	0.000749365804160325	0.328693556570269	0.384412988330797	0.207388635210553	0.000881785895484526	0.00162455606291223	0.0581354642313546	0.00367833587011669	0.00960629122272958	0.00147640791476408	0.00118518518518519	0.00216742770167428
PD43376b_lo0004	0.0012329427980703	0.182277050310131	0.319995864920744	0.387411440385941	0.00368090971743625	0.00199104066161268	0.0628897312198484	0.0176498966230186	0.00542522398345968	0.00251068228807719	0.0140668504479669	0.000868366643694004
PD43376b_lo0007	0.000472162278808804	0.209479067760035	0.315169615882607	0.294564523090203	0.00138411739318084	0.000361674579197238	0.147454035390591	0.00252913249892102	0.0190146741476047	0.00348381527837721	0.00162753560638757	0.00445964609408718
PD43377b_lo0006	0.000197229551451187	0.196542216358839	0.130740765171504	0.106002638522427	0.294710422163588	0.170515171503958	0.0900600263852243	0.00386807387862797	0.00264709762532982	0.00279485488126649	0.00037598944591029	0.00154551451187335
PD43377f_lo0010	0.00226991150442478	0.457468473451327	0.379615044247788	0.103690818584071	0.000434181415929204	0.00123064159292035	0.0407090707964602	0.00340597345132743	0.00284513274336283	0.00623949115044248	0.0010929203539823	0.000998340707964602
PD43377f_lo0014	0.00120334561080417	0.0229485880908533	0.273045426642112	0.148492173112339	0.00801350521792511	0.00170687538367096	0.249986494782075	0.00872375690607735	0.015469766728054	0.269996470227133	0.000348066298342541	6.55310006138735e-05
PD43378b_lo0019	0.000826418289585097	0.230304403048264	0.294761219305673	0.300406858594412	0.0423357324301439	0.028768416596105	0.0327260795935648	0.0307303132938188	0.0341519898391194	0.00302116850127011	0.00148687552921253	0.000480524978831499
PD43378b_lo0036	0.000826335877862595	0.334554071246819	0.301912849872774	0.268522264631043	0.00153753180661578	0.000505089058524173	0.0490165394402036	0.00514249363867684	0.0189790076335878	0.0033498727735369	0.0153804071246819	0.0002735368956743
PD43379b_lo0012	0.00340619765494137	0.342973199329983	0.127701842546064	0.270120603015075	0.00762981574539363	0.0664815745393635	0.0888902847571189	0.0197587939698492	0.0150217755443886	0.00311892797319933	0.00478978224455611	0.050107202680067
PD43379b_lo0035	0.00075	0.39501402640264	0.180689768976898	0.215859735973597	0.00341501650165016	0.0138366336633663	0.0341394389438944	0.0179183168316832	0.0318745874587459	0.0125206270627063	0.0301683168316832	0.0638135313531353
