TP53
PIK3CA
ARID1A
RB1
KMT2D
KDM6A
STAG2
ZFP36L1
ELF3
CDKN1A
FGFR3
TSC1
EP300
RHOB
FBXW7
CREBBP
RHOA
ERCC2
PTEN
KMT2C
HRAS
SPTAN1
PSIP1
FOXA1
FOXQ1
FAT1
RXRA
ERBB2
KMT2A
RBM10
KLF5
ARID2
KRAS
NFE2L2
ERBB3
EPS8
KANSL1
HIST1H3B
C3orf70
ASXL2
CDKN2A.p14arf
CDKN2A.p16INK4a
ZBTB7B
ATM
PARD3
CUL1
NRAS
SF3B1
GNA13
ACTB
MBD1
CASP8
TAF11
NUP93
SF1
METTL3
SPN
MB21D2
SSH3
USP28
ASXL1
TMCO4
HES1
